date,prediction,start,stop,duration,day
14/08/2015,,08:02:00,08:22:00,20,Fri
25/08/2015,,18:16:00,18:27:00,11,Tue
26/08/2015,,08:26:00,08:46:00,20,Wed
26/08/2015,,18:28:00,18:46:00,18,Wed
28/08/2015,,08:37:00,08:52:00,15,Fri
29/08/2015,,05:52:00,06:04:00,12,Sat
29/08/2015,,12:09:00,12:22:00,13,Sat
01/09/2015,,08:10:00,08:27:00,17,Tue
01/09/2015,,18:20:00,18:33:00,13,Tue
02/09/2015,,08:04:00,08:31:00,27,Wed
02/09/2015,,23:07:00,23:20:00,13,Wed
03/09/2015,,07:50:00,08:08:00,18,Thu
03/09/2015,,18:15:00,18:30:00,15,Thu
04/09/2015,,08:12:00,08:33:00,21,Fri
07/09/2015,,07:36:00,07:52:00,16,Mon
07/09/2015,,18:13:00,18:31:00,18,Mon
09/09/2015,,08:17:00,08:37:00,20,Wed
09/09/2015,,18:16:00,18:29:00,13,Wed
10/09/2015,,08:01:00,08:24:00,23,Thu
15/09/2015,,17:55:00,18:10:00,15,Tue
16/09/2015,,08:22:00,08:41:00,19,Wed
17/09/2015,,08:46:00,09:10:00,24,Thu
17/09/2005,,18:19:00,18:31:00,12,Sat
18/09/2015,,09:25:00,09:39:00,14,Fri
21/09/2015,,08:18:00,08:43:00,25,Mon
21/09/2015,,19:33:00,19:46:00,13,Mon
22/09/2015,,08:30:00,08:57:00,27,Tue
22/09/2015,,18:22:00,18:35:00,13,Tue
28/09/2015,,07:45:00,08:07:00,22,Mon
28/09/2015,,17:59:00,18:17:00,18,Mon
29/09/2015,,08:28:00,08:52:00,24,Tue
29/09/2015,,18:40:00,18:54:00,14,Tue
30/09/2015,,09:47:00,10:00:00,13,Wed
30/09/2015,,12:12:00,12:24:00,12,Wed
01/10/2015,,08:33:00,09:00:00,27,Thu
01/10/2015,,18:50:00,19:01:00,11,Thu
02/10/2015,,08:22:00,08:45:00,23,Fri
05/10/2015,,08:06:00,08:27:00,21,Mon
06/10/2015,,18:00:00,18:14:00,14,Tue
07/10/2015,,07:25:00,07:41:00,16,Wed
08/10/2015,,18:13:00,18:28:00,15,Thu
12/10/2015,,08:06:00,08:28:00,22,Mon
12/10/2015,,18:33:00,18:49:00,16,Mon
13/10/2015,,08:16:00,08:43:00,27,Tue
13/10/2015,,19:12:00,19:25:00,13,Tue
14/10/2015,,08:13:00,08:43:00,30,Wed
14/10/2015,,18:44:00,18:58:00,14,Wed
15/10/2015,,08:23:00,08:50:00,27,Thu
16/10/2015,,07:42:00,08:01:00,19,Fri
16/10/2015,,18:32:00,18:46:00,14,Fri
19/10/2015,,08:14:00,08:41:00,27,Mon
19/10/2015,,18:25:00,18:40:00,15,Mon
21/10/2015,,08:38:00,09:04:00,26,Wed
21/10/2015,,18:09:00,18:23:00,14,Wed
22/10/2015,,08:22:00,08:53:00,31,Thu
22/10/2015,,19:19:00,19:32:00,13,Thu
23/10/2015,,06:14:00,06:27:00,13,Fri
23/10/2015,,17:51:00,18:12:00,21,Fri
26/10/2015,,08:11:00,08:31:00,20,Mon
26/10/2015,,18:12:00,18:27:00,15,Mon
27/10/2015,,07:43:00,08:03:00,20,Tue
29/10/2015,,08:17:00,08:37:00,20,Thu
30/10/2015,,08:41:00,08:55:00,14,Fri
02/11/2015,,18:51:00,19:05:00,14,Mon
04/11/2015,,08:41:00,09:12:00,31,Wed
04/11/2015,,17:55:00,18:10:00,15,Wed
05/11/2015,,08:19:00,08:52:00,33,Thu
05/11/2015,,19:00:00,19:14:00,14,Thu
06/11/2015,,08:08:00,08:33:00,25,Fri
06/11/2015,,18:05:00,18:20:00,15,Fri
16/11/2015,,14:06:00,14:19:00,13,Mon
16/11/2015,,17:00:00,17:16:00,16,Mon
23/11/2015,,08:31:00,09:02:00,31,Mon
23/11/2015,,18:56:00,19:11:00,15,Mon
24/11/2015,,08:07:00,08:36:00,29,Tue
30/11/2015,,08:39:00,09:06:00,27,Mon
01/12/2015,,18:21:00,18:36:00,15,Tue
02/12/2015,,09:41:00,09:56:00,15,Wed
02/12/2015,,18:14:00,18:28:00,14,Wed
14/12/2015,,07:50:00,08:10:00,20,Mon
14/12/2015,,18:00:00,18:16:00,16,Mon
15/12/2015,,07:27:00,07:47:00,20,Tue
15/12/2015,,18:12:00,18:28:00,16,Tue
16/12/2015,,08:15:00,08:42:00,27,Wed
16/12/2015,,18:27:00,18:41:00,14,Wed
17/12/2015,,08:01:00,08:25:00,24,Thu
17/12/2015,,18:19:00,18:33:00,14,Thu
18/12/2015,,20:02:00,20:15:00,13,Fri
21/12/2015,,08:35:00,08:50:00,15,Mon
